залым	(вероломный, коварный, злой	zalym)
кішкене	(маленький, небольшой /немного/	kışkene)
кішкентай	(маленький /малыш/	kışkentai)
кіші	(младший, малый	kışı)
кішіпейіл	(скромный, учтивый	kışıpeiıl)
қадiрлi	(уважаемый, авторитетный, ценный	qadirli)
қажеттi	(нужный, необходимый	qajetti)
қажырлы	(упорный, энергичный, смелый	qajyrly)
қазақ	(казахский /казах/	qazaq)
қазіргі	(данный, современный, текущий	qazırgı)
қайғылы	(печальный, скорбный	qaiğyly)
қайнаған	(кипячёный	qainağan)
қайратты	(волевой, бесстрашный	qairatty)
қайсар	(волевой, стойкий, упорный	qaisar)
қайырлы	(добрый, благополучный	qaiyrly)
қайырымды	(добрый, милосердный, отзывчивый	qaiyrymdy)
қалалық	(городской	qalalyq)
қалыпты	(обыкновенный, устойчивый	qalypty)
қалың	(густой, частый, толстый	qalyñ)
қамқор	(заботливый, участливый
 /покровитель, опекун/	qamqor)
қамтамасыз	(обеспеченный	qamtamasyz)
қанды	(кровавый	qandy)
қара	(чёрный, сильный, простой	qara)
қараңғы	(тёмный /темнота, темно/	qarañğy)
қарапайым	(простой, обычный, скромный	qarapaiym)
қараторы	(смуглый	qaratory)
қарлы	(снежный	qarly)
қарсы	(встречный /напротив, наперекор/	qarsy)
қарт	(старый /старец/	qart)
қартаң	(пожилой, престарелый	qartañ)
қарулы	(вооруженный, сильный	qaruly)
қас	(враждебный /враг/	qas)
қасқа	(лысый, несчастный	qasqa)
қасиетті	(благородный, священный	qasiettı)
қатал	(жестокий, строгий, суровый	qatal)
қатаң	(жестокий, строгий /жестко, строго/	qatañ)
қатқыл	(твердый, жестокий, строгий	qatqyl)
қате	(ошибочный, неправильный /ошибка/	qate)
қатты	(твёрдый, сильный, громкий	qatty)
қауiпсiз	(безопасный /безопасно/	qauipsiz)
қауiптi	(опасный, рискованный	qauipti)
қаhарман	(отважный, героический /герой/	qaharman)
қашық	(далёкий, отдаленный /далеко/	qaşyq)
қисық	(кривой, неправильный, упрямый	qisyq)
қиын	(трудный, тяжёлый /тяжело/	qiyn)
қиял-ғажайып	(волшебный, фантастический	qial-ğajaiyp)
қоғамдық	(общественный	qoğamdyq)
қола	(бронзовый /бронза/	qola)
қолайлы	(удобный, подходящий	qolaily)
қонақжай	(гостеприимный	qonaqjai)
қонымды	(доступный, приятный	qonymdy)
қоңыр	(коричневый	qoñyr)
қоңырқай	(дымчато-серый, заурядный, простой	qoñyrqai)
қор	(униженный, оскорбленный	qor)
қорқақ	(трусливый, боязливый /трус/	qorqaq)
қос	(парный, двойной	qos)
қосымша	(дополнительный /дополнение/	qosymşa)
қош	(отличный, прекрасный /отлично/	qoş)
қою	(густой /гуща/	qoiu)
қу	(хитрый, лукавый /хитрец/	qu)
қуанышты	(радостный, восторженный	quanyşty)
қуатты	(сильный, мощный, калорийный	quatty)
қуырылған	(жаренный	quyrylğan)
құба	(светло-жёлтый, светловолосый	qūba)
құла	(саврасый, сухой, голый, плоский	qūla)
құнсыз	(бесценный, неоценимый	qūnsyz)
құрама	(сборный, составной, комбинированный	qūrama)
құрғақ	(сухой, высохший /суша/	qūrğaq)
құрмалас	(сложный, примыкающий	qūrmalas)
құрметті	(уважаемый, почётный	qūrmettı)
құтты	(счастливый, удачливый, благодатный	qūtty)
құштар	(влюбленный, увлеченный, страстный	qūştar)
қызба	(горячий, вспыльчивый	qyzba)
қызғаншақ	(ревнивый	qyzğanşaq)
қызғылт	(розовый	qyzğylt)
қызғылт сары	(оранжевый	qyzğylt sary)
қызу	(активный, жаркий	qyzu)
қызулы	(горячий	qyzuly)
қызық	(интересный, занимательный	qyzyq)
қызықсыз	(неинтересный	qyzyqsyz)
қызықты	(интересный /интересно/	qyzyqty)
қызыл	(красный	qyzyl)
қымбат	(дорогой, ценный	qymbat)
қымбатты	(уважаемый, дорогой, ценный	qymbatty)
қыңыр	(капризный, упрямый	qyñyr)
қырғыз	(киргизский /киргиз/	qyrğyz)
қырлы	(гранёный, гранный	qyrly)
қырсық	(упрямый, несговорчивый
 /беда, неудача/	qyrsyq)
қысқа	(короткий /коротко/	qysqa)
қысқы	(зимний	qysqy)
қышқыл	(кислый /кислота/	qyşqyl)
лайық	(приемлемый, подходящий, достойный	laiyq)
лайықты	(подобающий, должный, достойный	laiyqty)
лас	(грязный /грязь/	las)
мағыналы	(содержательный, значительный	mağynaly)
майда	(мелкий, нежный, вежливый	maida)
малды	(зажиточный, богатый	maldy)
мақсатты	(целеустремлённый	maqsatty)
мақтаншақ	(хвастливый /хвастун/	maqtanşaq)
маңызды	(важный, значительный, существенный	mañyzdy)
мас	(пьяный, опьяненный	mas)
мәдени	(культурный	mädeni)
мәдениетті	(культурный	mädeniettı)
мәжбүр	(вынужденный /вынужденно/	mäjbür)
мәз	(радостный, довольный	mäz)
мәлім	(известный	mälım)
мейірімді	(добрый, милосердный	meiırımdı)
мемлекеттік	(государственный	memlekettık)
меңіреу	(безмолвный, глухонемой	meñıreu)
мол	(богатый, изобильный /много, обильно/	mol)
момын	(скромный, тихий, наивный	momyn)
мөлдір	(чистый, прозрачный	möldır)
мұндағы	(здешний	mūndağy)
мұндай	(такой, таковой	mūndai)
мұңды	(печальный, грустный, горестный	mūñdy)
мұңлы	(печальный, грустный	mūñly)
мұртты	(усатый	mūrtty)
мүмкiн	(возможный, вероятный /возможно/	mümkin)
мығым	(крепкий, веский /твёрдо, решительно/	myğym)
мықты	(сильный, мощный, крепкий	myqty)
мылқау	(немой	mylqau)
мынадай	(такой, вот такой	mynadai)
мырза	(щедрый /господин/	myrza)
міндетті	(обязанный, обязательный	mındettı)
мінезді	(имеющий характер	mınezdı)
мінсіз	(безупречный /безупречно/	mınsız)
нағыз	(истинный, настоящий, самый
/истинно, действительно/	nağyz)
надан	(невежественный /невежда/	nadan)
нақты	(конкретный, точный, реальный	naqty)
наразы	(недовольный	narazy)
нашар	(плохой, слабый, бедный /плохо/	naşar)
нәзік	(тонкий, нежный, утончённый	näzık)
нәрлі	(питательный, сытный	närlı)
негізгi	(основной	negızgi)
неміс	(немецкий /немец/	nemıs)
нұрлы	(светлый, лучистый	nūrly)
озат	(передовой, отличный	ozat)
озғын	(передовой, отличный	ozğyn)
ойлы	(умный, задумчивый	oily)
ойшыл	(склонный к размышлениям
 /мыслитель/	oişyl)
оқшау	(обособленный, отдельный /отдельно/	oqşau)
оқыс	(внезапный /внезапно, нечаянно/	oqys)
олқы	(слабый /слабость, недостаток/	olqy)
ондай	(такой	ondai)
оң	(правый	oñ)
оңай	(лёгкий, несложный /легко/	oñai)
оңаша	(уединенный /отдельно/	oñaşa)
орамды	(проворный, оперативный	oramdy)
орта	(средний /середина, среда/	orta)
ортақ	(общий, совместный	ortaq)
орталық	(центральный /центр/	ortalyq)
орташа	(средний /посредственно/	ortaşa)
орынды	(местный, уместный /уместно/	oryndy)
орынсыз	(неуместный /неуместно/	orynsyz)
орыс	(русский	orys)
осал	(слабый, некрепкий /слабо/	osal)
отты	(огненный, пламенный	otty)
осындай	(такой же, подобный	osyndai)
өжет	(настойчивый, упорный, смелый	öjet)
өзбек	(узбекский /узбек/	özbek)
өзге	(другой, иной, чужой	özge)
өзгеше	(особенный /особо, иначе/	özgeşe)
өздік	(возвратный	özdık)
өзекті	(актуальный, основной, ключевой	özektı)
өзімшіл	(эгоистичный /эгоист/	özımşıl)
өзіндік	(оригинальный, собственный	özındık)
өкпелі	(обиженный	ökpelı)
өлі	(мертвый, умерший	ölı)
өмірлік	(жизненный, пожизненный	ömırlık)
өндірістік	(производственный	öndırıstık)
өнерлі	(умелый, искусный /умелец/	önerlı)
өнімді	(продуктивный, производительный	önımdı)
өрескел	(грубый, вульгарный	öreskel)
өскелең	(плодовитый, быстрорастущий	öskeleñ)
өткен	(прошедший, прошлый	ötken)
өткір	(смелый, бойкий, острый	ötkır)
өш	(падкий, приверженный /месть/	öş)
пайдалы	(полезный, выгодный /полезно/	paidaly)
панасыз	(беспризорный, беззащитный	panasyz)
парасатты	(здравомыслящий, разумный	parasatty)
пысық	(шустрый, расторопный	pysyq)
пісірілген	(отварной	pısırılgen)
разы	(довольный, согласный	razy)
рас	(правдивый, истинный /правда/	ras)
ресми	(официальный /официально/	resmi)
республикалық	(республиканский	respublikalyq)
реттiк	(порядковый	rettik)
риза	(благодарный, довольный	riza)
рухани	(духовный	ruhani)
сабырлы	(спокойный, терпеливый
 /спокойно, терпеливо/	sabyrly)
сабырсыз	(неспокойный, нетерпеливый
 /неспокойно, нетерпеливо/	sabyrsyz)
сай	(подходящий, соответствующий	sai)
сақ	(осторожный, бдительный, чуткий	saq)
сақалды	(бородатый	saqaldy)
салқын	(холодный, прохладный
 /холодно, прохладно/	salqyn)
салмақты	(серьёзный, солидный, увесистый
 /серьёзно, солидно/	salmaqty)
салтанатты	(торжественный, парадный, роскошный	saltanatty)
саналы	(сознательный	sanaly)
сансыз	(бесчисленный, несчётный	sansyz)
саңырау	(глухой	sañyrau)
сапалы	(качественный	sapaly)
сар	(стремительный	sar)
сараң	(жадный, скупой /скряга/	sarañ)
сарғыш	(желтоватый	sarğyş)
сары	(жёлтый	sary)
сау	(здоровый	sau)
сауатты	(образованный, грамотный	sauatty)
саяси	(политический	saiasi)
сәлемет	(здоровый, невредимый	sälemet)
сәнді	(модный, нарядный	sändı)
сәтті	(удачный, благоприятный /удачно/	sättı)
сезімтал	(чувствительный, сентиментальный	sezımtal)
семіз	(толстый, тучный, жирный	semız)
сенгіш	(доверчивый	sengış)
сенімді	(верный, надёжный, уверенный
 /уверенно/	senımdı)
сергек	(бодрый, живой, бдительный	sergek)
сирек	(редкий /редко/	sirek)
содыр	(озорной, драчливый /озорник/	sodyr)
соқыр	(слепой /слепец/	soqyr)
сол	(левый	sol)
сондағы	(тогдашний	sondağy)
сондай	(такой	sondai)
соны	(девственный, нетронутый, новый	sony)
соңғы	(последний	soñğy)
сопақ	(овальный, продолговатый	sopaq)
сорақы	(несуразный, нелепый	soraqy)
сорлы	(бедный, несчастный /бедняга/	sorly)
сотқар	(драчливый /драчун, задира/	sotqar)
сөзуар	(говорливый /говорун/	sözuar)
сөзшең	(разговорчивый, красноречивый	sözşeñ)
сулы	(мокрый	suly)
суретті	(иллюстрированный	surettı)
суық	(холодный /холод, холодно/	suyq)
сұйық	(жидкий	sūiyq)
сұлу	(красивый /красавец, красавица/	sūlu)
сұм	(коварный, вероломный /плут, подлец/	sūm)
сұмырай	(мерзкий, презренный	sūmyrai)
сұңғақ	(стройный, статный	sūñğaq)
сұрғылт	(сероватый, бледноватый	sūrğylt)
сұр	(серый	sūr)
сүйген	(любимый	süigen)
сүйкімді	(симпатичный, приятный	süikımdı)
сүйкімсіз	(несимпатичный, неприятный	süikımsız)
сүйікті	(любимый, милый	süiıktı)
сықылды	(подобный, похожий /как будто/	syqyldy)
сымбатты	(стройный, статный	symbatty)
сынық	(сломанный, разбитый /осколок/	synyq)
сыншыл	(критикующий, склонный к критике	synşyl)
сыпайы	(скромный, вежливый	sypaiy)
сырлас	(близкий, с кем делишься тайнами	syrlas)
сырлы	(таинственный, крашеный	syrly)
сыртқы	(наружный, внешний	syrtqy)
табанды	(настойчивый, упорный	tabandy)
табиғи	(естественный, природный	tabiği)
тағы	(нелюдимый, дикий	tağy)
таза	(чистый	taza)
тақ	(отдельный, нечётный	taq)
талапты	(целеустремленный, инициативный	talapty)
талғаулы	(отборный, избранный	talğauly)
тамаша	(замечательный, великолепный	tamaşa)
таныс	(знакомый	tanys)
таңдаулы	(отборный, избранный, элитный	tañdauly)
таңғы	(утренний, завтрашний	tañğy)
таңертеңгі	(утренний	tañerteñgı)
тапқыр	(находчивый, остроумный	tapqyr)
таптық	(классовый	taptyq)
тар	(узкий, тесный	tar)
тарихи	(исторический	tarihi)
тартымды	(обаятельный, симпатичный	tartymdy)
тасты	(каменистый	tasty)
тату	(дружный, мирный /мирно/	tatu)
таулы	(горный	tauly)
таяз	(мелкий, неглубокий	taiaz)
таяу	(ближайший /близко/	taiau)
тәжірибелі	(опытный	täjıribelı)
тәкаппар	(высокомерный, надменный	täkappar)
тәтті	(сладкий, вкусный	tättı)
тәуелсiз	(независимый	täuelsiz)
тәуір	(дельный, приличный /прилично/	täuır)
тегін	(бесплатный /бесплатно/	tegın)
тегіс	(ровный, гладкий	tegıs)
темір	(железный /железо/	temır)
тентек	(избалованный, озорной /озорник/	tentek)
тең	(равный	teñ)
терең	(глубокий	tereñ)
теріс	(неправильный, отрицательный	terıs)
тиімді	(оптимальный, выгодный, удобный	tiımdı)
тоқ	(сытый, упитанный	toq)
тоқыма	(вязаный	toqyma)
толқынды	(волнистый	tolqyndy)
толы	(полный, наполненный	toly)
толық	(полный, подробный, детальный
 /полностью, подробно/	tolyq)
топас	(тупой	topas)
торы	(гнедой	tory)
төменгі	(нижний, нижеследующий	tömengı)
туған	(родной, рождённый	tuğan)
тура	(прямой, справедливый	tura)
турашыл	(прямолинейный	turaşyl)
тұздалған	(солёный, засоленный	tūzdalğan)
тұзды	(солёный	tūzdy)
тұйық	(замкнутый, скрытый /тупик/	tūiyq)
тұнық	(прозрачный, чистый, ясный	tūnyq)
тұңғиық	(глубокий, тёмный, мрачный	tūñğiyq)
тұңғыш	(первый, первоначальный /первенец/	tūñğyş)
тұрақты	(постоянный, устойчивый, местный	tūraqty)
тұрмыстық	(бытовой	tūrmystyq)
тұстас	(параллельный /современник/	tūstas)
тұтас	(сплошной, цельный; /целиком/	tūtas)
тұщы	(пресный, несолёный	tūşşy)
түзу	(прямой, ровный, правильный,
 честный /прямо, честно/	tüzu)
түнгі	(ночной	tüngı)
түрлі	(разный, различный	türlı)
түрлі түсті	(разноцветный	türlı tüstı)
түсті	(цветный	tüstı)
түскі	(обеденный	tüskı)
түсініксіз	(неясный, непонятный /непонятно/	tüsınıksız)
түсінікті	(ясный, понятный /ясно, прямо/	tüsınıktı)
тығыз	(плотный, густой, срочный
 /плотно, срочно/	tyğyz)
тынымды	(спокойный	tynymdy)
тынымсыз	(беспокойный, беспрерывный
 /беспрерывно/	tynymsyz)
тыныш	(тихий, спокойный /покой, тихо/	tynyş)
тың	(бодрый, крепкий, оригинальный	tyñ)
тік	(прямой, резкий /прямо/	tık)
тілеулес	(сочувствующий, солидарный	tıleules)
тірі	(живой	tırı)
улы	(ядовитый, едкий	uly)
ұғымды	(понятливый /понятно/	ūğymdy)
ұғымсыз	(непонятливый /непонятно/	ūğymsyz)
ұзақ	(долгий, дальний	ūzaq)
ұзын	(длинный	ūzyn)
ұзынша	(продолговатый	ūzynşa)
ұйқылы	(сонный, заспанный	ūiqyly)
ұқсас	(похожий, аналогичный	ūqsas)
ұқыпты	(аккуратный, бережливый	ūqypty)
ұлттық	(национальный	ūlttyq)
ұлы	(великий	ūly)
ұрысқақ	(скандальный	ūrysqaq)
ұсақ	(мелкий	ūsaq)
ұсқынсыз	(некрасивый, неприятный	ūsqynsyz)
ұстамды	(сдержанный	ūstamdy)
ұялшақ	(стеснительный, стыдливый	ūialşaq)
ұятсыз	(бессовестный	ūiatsyz)
үздік	(лучший, передовой, выдающийся	üzdık)
үйленген	(женатый	üilengen)
үйленген	(женатый, имеющий дом	üilengen)
үйреншікті	(привычный, обыденный, хронический	üirenşıktı)
үлгілі	(образцовый, показательный;	ülgılı)
үлкен	(большой	ülken)
үнсіз	(безмолвный, беззвучный /безмолвно/	ünsız)
үстем	(господствующий, доминирующий;	üstem)
үшбұрышты	(треугольный	üşbūryşty)
хабарлы	(знающий, осведомлённый	habarly)
халықаралық	(международный	halyqaralyq)
халықтық	(народный	halyqtyq)
шабытты	(вдохновенный /вдохновенно/	şabytty)
шағын	(небольшой, малый	şağyn)
шала	(половинчатый /наполовину/	şala)
шамалы	(ограниченный /примерно, около/	şamaly)
шапшаң	(быстрый /быстро/	şapşañ)
шаршы	(квадратный /квадрат/	şarşy)
шашты	(волосатый	şaşty)
шексіз	(бесконечный, бескрайний	şeksız)
шерлі	(печальный, убитый горем	şerlı)
шетелдік	(зарубежный, иностранный	şeteldık)
шеткі	(крайний, отдаленный	şetkı)
шикі	(сырой, неспелый	şikı)
ширақ	(живой, бодрый /живо, бодро/	şiraq)
шолақ	(короткий, недалекий	şolaq)
шұбар	(пятнистый, рябой	şūbar)
шын	(истинный, настоящий /правда/	şyn)
шынайы	(истинный, искренний	şynaiy)
шыншыл	(правдивый, искренний	şynşyl)
ызақор	(злой, гневный	yzaqor)
ызалы	(агрессивный, разъярённый	yzaly)
ылғалды	(влажный	ylğaldy)
ыңғайлы	(комфортный, удобный /удобно/	yñğaily)
ыңғайсыз	(неудобный, неподходящий	yñğaisyz)
ырза	(довольный, согласный	yrza)
ыстық	(горячий, жаркий /горячо, жарко/	ystyq)
ілулі	(подвешенный, навешанный	ılulı)
ірі	(крупный, грандиозный	ırı)
іскер	(деловой, дельный, толковый	ısker)
ішкі	(внутренний	ışkı)
